chunk_id,content_id,comment_id,title,channel_name,comment_text,comment_likeCount,published_at,source_file,extraction_status,extraction_error,pi_detected,pi_stage,pi_confidence,pi_evidence_text,pi_brand,pi_brand_source,pi_is_lost_sale,un_detected,un_need_type,un_feature_area,un_need_text,un_brand,un_brand_source,un_intensity,qs_is_question,qs_question_type,qs_topic,qs_normalized_question,qs_is_content_gap,qs_brand,qs_brand_source
ig_8xrClW2U_Ugw1vU_vkSFqFTsa1XB4AaABAg,ig_8xrClW2U,Ugw1vU_vkSFqFTsa1XB4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),Arjun Ultra 605dims & Sonalika Goold 55di,0,2026-05-26T03:43:04,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,False,none,,,False,,
ig_8xrClW2U_UgwF2sBgJprQG3e7Mwp4AaABAg,ig_8xrClW2U,UgwF2sBgJprQG3e7Mwp4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),Farmtrac World Maxx 6065 Budhni report is available.,1,2026-05-25T13:45:30,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,False,none,,,False,,
ig_8xrClW2U_UgwPBi_xuhvzAiRBkX14AaABAg,ig_8xrClW2U,UgwPBi_xuhvzAiRBkX14AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),Tell us about Mahindra 575 mbull as well.,0,2026-05-26T15:07:09,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,True,spec_inquiry,,Can you tell us about the Mahindra 575 DI M-Bull?,True,Mahindra,comment
ig_8xrClW2U_UgwWy7jFPoVZtYme2Vl4AaABAg,ig_8xrClW2U,UgwWy7jFPoVZtYme2Vl4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),Is it right to buy a tractor at this time or not? I want to buy 744.,1,2026-05-25T17:29:38,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,True,consideration,0.8,I want to buy 744,Swaraj,comment,False,False,none,,,,,none,True,usage_inquiry,,Is it the right time to buy a tractor?,False,Swaraj,comment
ig_8xrClW2U_Ugwrfv7GUir5tcezJ7J4AaABAg,ig_8xrClW2U,Ugwrfv7GUir5tcezJ7J4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),"It is important to buy a tractor carefully. We also bought one, but after buying, we realized that if you buy a local digital one, it will be a problem. Even today, we are suffering because of it. So, please buy only after proper research, otherwise, you will regret it. In the Hi-tech model, the tractor will not run for 2 years, the engine will get damaged.
One advantage of the surf digital is that if the battery and ethanol cell are good, the farmer can use it.",2,2026-05-25T15:52:28,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,True,product_complaint,engine performance,"we realized that if you buy a local digital one, it will be a problem",,,high,False,none,,,False,,
ig_8xrClW2U_UgwyJ6Spy3heSVlcwut4AaABAg,ig_8xrClW2U,UgwyJ6Spy3heSVlcwut4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),"New Holland 3600-2 rotary pump, when will it be available?",1,2026-05-26T15:20:09,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,invalid_schema,,False,none,0.0,,,,False,False,none,,,,,none,True,availability_inquiry,,When will the New Holland 3600-2 rotary pump be available?,False,New Holland,comment
ig_8xrClW2U_Ugx0fQA8IwajpFPKPnZ4AaABAg,ig_8xrClW2U,Ugx0fQA8IwajpFPKPnZ4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),"Tiwari ji, how can one contact you?",1,2026-05-25T14:57:21,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,True,availability_inquiry,,How can one contact you?,False,,
ig_8xrClW2U_Ugx259OI3G6JYKPGyDl4AaABAg,ig_8xrClW2U,Ugx259OI3G6JYKPGyDl4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),"This is the same old Budhni report which is used to mislead farmers and nothing else. The truth is something else, Modi ji's way.",11,2026-05-25T15:50:51,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,True,content_gap,tractor comparison review,the truth is something else,,,medium,True,spec_inquiry,,Is the Budhni report accurate?,False,,
ig_8xrClW2U_UgxIcnpASkZhCiWjrTx4AaABAg,ig_8xrClW2U,UgxIcnpASkZhCiWjrTx4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),Budhni report is available for free on the official website and the digital average field is also available. My experience.,10,2026-05-25T14:10:28,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,True,spec_inquiry,,Which tractor did you like?,False,,
ig_8xrClW2U_UgxTvnJj-WG9eIzEy1J4AaABAg,ig_8xrClW2U,UgxTvnJj-WG9eIzEy1J4AaABAg,50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor,Tiwariji Ki Life (Tractor Review),"Namaste Tiwari ji! I have recently bought an Eicher 551 Prima tractor. So, I request you to make a comparison video between Eicher 551 Prima and Mahindra 585 Yuvo Tech Plus.",1,2026-05-25T16:36:00,YouTube Comments 50 HP द टरकटर म महमकबल  Mahindra Yuvo Tech 585 Mbull  Sonalika Gold 745  Tractor.xlsx,success,,False,none,0.0,,,,False,False,none,,,,,none,True,comparison_inquiry,,Can you make a comparison video between Eicher 551 Prima and Mahindra 585 Yuvo Tech Plus?,True,Eicher,comment
