video_id,video_url,channel_id,channel_name,channel_url,title,publish_date,publish_week,view_count,like_count,comment_count,duration_seconds,is_short,attributed_brand,attribution_layer,is_tractor_content,fetched_at
QVcI_TKccCQ,https://www.youtube.com/watch?v=QVcI_TKccCQ,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,গাড়ীখনতে ব্যৱসায়। Agarwood Farm in Assam। African Mahogany Farming।Nursery in Assam। Sashi Plants ,2026-03-08,2026-W10,14786,229,32,574,0,unattributed,,0,2026-06-24T07:34:53Z
GHnA_hT3SeI,https://www.youtube.com/watch?v=GHnA_hT3SeI,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,বানপানীৰে ডুবি থকা মাটিত ডাঙৰ কৰিলে 350 গছ।Mahogany farm in Assam।Mahogany farm। Assam Farming ideas,2026-03-07,2026-W10,8539,223,19,667,0,unattributed,,0,2026-06-24T07:34:53Z
lJqTz48jAhk,https://www.youtube.com/watch?v=lJqTz48jAhk,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,কেঁচা তামোলৰ ব্যৱসায় Areca nut Ibetel nut farming in Assam।Betel nut business।Tamul business ,2026-03-06,2026-W10,133919,1303,178,694,0,unattributed,,0,2026-06-24T07:34:53Z
dina50_ZcjA,https://www.youtube.com/watch?v=dina50_ZcjA,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,বেলেগে কাটিছে চিৰাংৰ অংশুৰাম নাৰ্জাৰীয়ে সংৰক্ষণ কৰিছে।Orchid man of Assam।New Orchid Park in Assam,2026-03-03,2026-W10,13625,369,27,830,0,unattributed,,0,2026-06-24T07:34:53Z
VtnPMr4HQdc,https://www.youtube.com/watch?v=VtnPMr4HQdc,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,এখন 2nd Hand বাছৰ পৰা ৰূপালী বাছৰ গৰাকীৰ এতিয়া ৫ খন বাছৰ লগতে বিভিন্ন ব্যৱসায় Rupali Night Super,2026-03-02,2026-W10,80834,1284,88,889,0,unattributed,,0,2026-06-24T07:34:53Z
5nk6nv1awqg,https://www.youtube.com/watch?v=5nk6nv1awqg,UCvtnc3lA8qMH0110jd7atfw,JIBON ARU HONSTHAPON - Pranjal Gogoi,https://www.youtube.com/@Pranjalgogoi,ASF বেমাৰক জয় কৰা গাহৰি পালক। Pig farm in Assam। Pig farm Videos।Pig farming in Assam। Pig farm ,2026-03-01,2026-W09,17209,468,31,812,0,unattributed,,0,2026-06-24T07:34:53Z
PmagI0QiFDo,https://www.youtube.com/watch?v=PmagI0QiFDo,UC5Qh5THlWdnMnYvjetfDlaA,Automobile Info Only,https://www.youtube.com/@AutomobileInfoOnly,5 Reasons To Buy TVS Raider 125 SX | Sabse Feature Loaded 125cc ?,2026-03-06,2026-W10,804,26,7,589,0,unattributed,,0,2026-06-24T07:34:53Z
ifN6gswQ9fM,https://www.youtube.com/watch?v=ifN6gswQ9fM,UC5Qh5THlWdnMnYvjetfDlaA,Automobile Info Only,https://www.youtube.com/@AutomobileInfoOnly,New Bajaj Dominar 250 Detailed Review  | All Features Explained in Detail,2026-03-01,2026-W09,13966,194,8,936,0,unattributed,,0,2026-06-24T07:34:53Z
RsV1HFqrlSU,https://www.youtube.com/shorts/RsV1HFqrlSU,UCE7RlPiPuVX6_Q9950x-1CQ,Avi Vlogs,https://www.youtube.com/@AviVlogsyt,Holi special Second Hand Tractor collection Muzaffarpur Bihar #bihar #holi #tractor #secondhand,2026-03-03,2026-W10,2931,74,4,59,1,unattributed,,1,2026-06-24T07:34:53Z
nGWXlvm-s4w,https://www.youtube.com/watch?v=nGWXlvm-s4w,UCE7RlPiPuVX6_Q9950x-1CQ,Avi Vlogs,https://www.youtube.com/@AviVlogsyt,"ना ट्रांसफर का झंझट, ना लोन का टेशन ||Holi special Second Hand Tractor collection Muzaffarpur Bihar",2026-03-02,2026-W10,6546,143,11,658,0,unattributed,,1,2026-06-24T07:34:53Z
